N,t,one_qubit,factor_found,n_qubits,depth,n_attempts,simulation_time,total_time,noise
15,10,False,3,20,2033,3,1.399764060974121,4.214640378952026,False
15,10,False,5,0.0,0.0,2,0.0,1.3485116958618164,False
15,10,False,3,0.0,0.0,1,0.0,1.9311904907226562e-05,False
15,10,False,5,20,2033,4,1.4027326107025146,5.568304777145386,False
15,10,False,3,0.0,0.0,2,0.0,1.3297030925750732,False
15,10,False,3,0.0,0.0,3,0.0,2.6249806880950928,False
15,10,False,5,20,2033,2,1.3803901672363281,2.722856044769287,False
15,10,False,3,0.0,0.0,1,0.0,3.409385681152344e-05,False
15,10,False,3,0.0,0.0,2,0.0,1.3818457126617432,False
15,10,False,5,0.0,0.0,1,0.0,1.5974044799804688e-05,False
21,10,False,7,0.0,0.0,4,0.0,7.164404630661011,False
21,10,False,3,0.0,0.0,3,0.0,4.892029285430908,False
21,10,False,3,0.0,0.0,2,0.0,2.4066803455352783,False
21,10,False,7,0.0,0.0,1,0.0,1.7404556274414062e-05,False
21,10,False,3,0.0,0.0,4,0.0,7.275113344192505,False
21,10,False,3,22,2833,1,2.4329702854156494,2.432990550994873,False
21,10,False,3,0.0,0.0,2,0.0,2.4350762367248535,False
21,10,False,3,0.0,0.0,2,0.0,2.4561209678649902,False
21,10,False,3,0.0,0.0,7,0.0,14.666290044784546,False
21,10,False,3,0.0,0.0,2,0.0,2.464879274368286,False
33,10,False,3,0.0,0.0,10,0.0,43.24935507774353,False
33,10,False,3,0.0,0.0,1,0.0,1.239776611328125e-05,False
33,10,False,3,0.0,0.0,3,0.0,9.334834098815918,False
33,10,False,3,0.0,0.0,3,0.0,9.672729253768921,False
33,10,False,11,0.0,0.0,2,0.0,5.055011749267578,False
33,10,False,3,0.0,0.0,1,0.0,1.3589859008789062e-05,False
33,10,False,3,0.0,0.0,2,0.0,5.0507283210754395,False
33,10,False,3,0.0,0.0,1,0.0,1.430511474609375e-05,False
33,10,False,3,0.0,0.0,1,0.0,1.049041748046875e-05,False
33,10,False,3,0.0,0.0,4,0.0,14.471011638641357,False
35,10,False,5,0.0,0.0,5,0.0,19.52043604850769,False
35,10,False,5,24,3753,5,4.429597616195679,24.47110629081726,False
35,10,False,5,0.0,0.0,3,0.0,9.37330150604248,False
35,10,False,5,0.0,0.0,2,0.0,5.124033689498901,False
35,10,False,7,0.0,0.0,5,0.0,18.44598960876465,False
35,10,False,5,24,3753,5,4.986393451690674,24.57126259803772,False
35,10,False,7,0.0,0.0,1,0.0,3.0040740966796875e-05,False
35,10,False,5,24,3753,2,4.51900577545166,9.555284023284912,False
35,10,False,7,0.0,0.0,2,0.0,4.946622133255005,False
35,10,False,5,0.0,0.0,1,0.0,1.4066696166992188e-05,False
39,10,False,3,0.0,0.0,2,0.0,5.0286545753479,False
39,10,False,3,0.0,0.0,2,0.0,4.9566569328308105,False
39,10,False,3,0.0,0.0,1,0.0,1.3828277587890625e-05,False
39,10,False,3,0.0,0.0,2,0.0,4.952842950820923,False
39,10,False,13,0.0,0.0,4,0.0,14.013643741607666,False
39,10,False,13,24,3753,7,4.9575676918029785,32.31735420227051,False
39,10,False,3,0.0,0.0,3,0.0,9.91180968284607,False
39,10,False,3,0.0,0.0,2,0.0,4.525816202163696,False
39,10,False,13,0.0,0.0,2,0.0,4.489395618438721,False
39,10,False,13,24,3753,1,4.96284818649292,4.96286416053772,False
51,10,False,3,0.0,0.0,1,0.0,2.6702880859375e-05,False
51,10,False,3,0.0,0.0,8,0.0,33.71831822395325,False
51,10,False,17,0.0,0.0,3,0.0,9.35395359992981,False
51,10,False,17,0.0,0.0,3,0.0,9.773880243301392,False
51,10,False,3,0.0,0.0,1,0.0,1.33514404296875e-05,False
51,10,False,3,0.0,0.0,5,0.0,20.237656116485596,False
51,10,False,3,0.0,0.0,1,0.0,1.3113021850585938e-05,False
51,10,False,3,0.0,0.0,4,0.0,14.520912408828735,False
51,10,False,17,24,3753,2,4.985929250717163,9.488440036773682,False
51,10,False,3,0.0,0.0,2,0.0,5.03108286857605,False
55,10,False,11,0.0,0.0,2,0.0,4.468695163726807,False
55,10,False,5,24,3753,4,4.958086729049683,19.44761562347412,False
55,10,False,5,0.0,0.0,1,0.0,2.4557113647460938e-05,False
55,10,False,5,0.0,0.0,3,0.0,9.694361686706543,False
55,10,False,5,0.0,0.0,3,0.0,9.077147960662842,False
55,10,False,11,0.0,0.0,2,0.0,4.941064357757568,False
55,10,False,11,0.0,0.0,2,0.0,5.117779016494751,False
55,10,False,11,24,3753,6,5.071923494338989,29.728015422821045,False
55,10,False,5,0.0,0.0,2,0.0,5.126319885253906,False
55,10,False,5,0.0,0.0,1,0.0,1.2874603271484375e-05,False
57,10,False,3,0.0,0.0,3,0.0,10.214064836502075,False
57,10,False,3,0.0,0.0,4,0.0,14.16465449333191,False
57,10,False,3,0.0,0.0,1,0.0,1.3589859008789062e-05,False
57,10,False,3,0.0,0.0,2,0.0,5.113682508468628,False
57,10,False,19,0.0,0.0,4,0.0,15.148215770721436,False
57,10,False,3,0.0,0.0,3,0.0,10.319921016693115,False
57,10,False,19,24,3753,2,5.162067174911499,10.222945213317871,False
57,10,False,3,0.0,0.0,4,0.0,14.695921182632446,False
57,10,False,3,0.0,0.0,2,0.0,5.091484069824219,False
57,10,False,3,0.0,0.0,1,0.0,1.33514404296875e-05,False
65,10,False,5,0.0,0.0,2,0.0,15.53198504447937,False
65,10,False,5,0.0,0.0,5,0.0,64.44675278663635,False
65,10,False,13,0.0,0.0,2,0.0,16.216102123260498,False
65,10,False,5,0.0,0.0,3,0.0,32.6060585975647,False
65,10,False,5,26,4793,2,16.09748601913452,32.339672327041626,False
65,10,False,5,0.0,0.0,9,0.0,129.80505108833313,False
